iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.7578,9712,-0.00240,0.54540,1.2160,0.00319,0.0217,1.0018,,1.03342,0.6264,0.5577,0.3000,0.5300,7.8
2,256,0,0.7148,9408,-0.00694,0.51970,1.2039,0.00149,0.0096,1.0034,,1.04987,0.6214,0.5561,0.2958,0.5676,7.6
3,256,0,0.7227,9559,-0.00466,0.47876,1.1991,0.00239,0.0110,1.0039,,1.03321,0.6301,0.5574,0.2915,0.5513,7.6
4,256,0,0.6562,9610,-0.00352,0.50633,1.2147,0.00187,0.0124,1.0048,,1.03136,0.6282,0.5546,0.2873,0.5271,7.8
5,256,0,0.6719,9613,-0.00615,0.51435,1.1844,0.00110,0.0098,1.0034,,1.02420,0.6313,0.5561,0.2831,0.5440,7.7
6,256,0,0.7031,9022,-0.00310,0.49173,1.1550,0.00124,0.0181,1.0023,,1.05221,0.6276,0.5548,0.2788,0.5570,7.6
7,256,0,0.6797,9454,-0.00082,0.46870,1.1856,0.00227,0.0161,1.0024,,1.05399,0.6246,0.5532,0.2746,0.5215,7.7
8,256,0,0.6406,9251,-0.01325,0.46243,1.1866,0.00295,0.0085,1.0042,,1.02048,0.6332,0.5555,0.2703,0.4795,7.7
9,256,0,0.6680,9595,0.00008,0.46865,1.1459,0.00230,0.0181,1.0048,,1.04634,0.6213,0.5541,0.2661,0.5076,8.1
10,256,0,0.7109,9818,-0.00275,0.49205,1.1849,0.00143,0.0164,1.0051,0.8003,1.02357,0.6357,0.5548,0.2619,0.5344,14.1
11,256,0,0.6992,9615,-0.00052,0.46407,1.1756,0.00177,0.0083,1.0061,,1.04459,0.6211,0.5537,0.2576,0.5523,7.9
12,256,0,0.6758,9692,-0.00316,0.48989,1.1303,0.00221,0.0145,1.0063,,1.04809,0.6256,0.5590,0.2534,0.5641,7.8
13,256,0,0.6680,9162,-0.00258,0.49593,1.1528,0.00148,0.0026,1.0067,,1.05044,0.6169,0.5559,0.2492,0.5757,7.7
14,256,0,0.7305,9503,0.00219,0.46371,1.1453,0.00220,0.0180,1.0059,,1.04641,0.6236,0.5568,0.2449,0.5980,7.9
15,256,0,0.7070,9861,-0.00303,0.44029,1.1523,0.00129,0.0132,1.0056,,1.04875,0.6258,0.5568,0.2407,0.6032,7.9
16,256,0,0.6836,9031,-0.00313,0.45532,1.1268,0.00216,0.0101,1.0052,,1.02483,0.6275,0.5563,0.2364,0.5723,7.6
17,256,0,0.7070,9450,-0.00287,0.47802,1.1316,0.00191,0.0151,1.0048,,1.02954,0.6294,0.5563,0.2322,0.5737,7.7
18,256,0,0.7266,9628,-0.00255,0.47084,1.1332,0.00175,0.0128,1.0055,,1.02904,0.6252,0.5588,0.2280,0.5793,7.8
19,256,0,0.6797,9559,-0.00355,0.46708,1.1446,0.00172,0.0131,1.0047,,1.04477,0.6290,0.5592,0.2237,0.5599,8.0
20,256,0,0.6641,9806,-0.00199,0.48428,1.1546,0.00134,0.0080,1.0037,0.7213,1.02000,0.6362,0.5559,0.2195,0.5545,13.9
21,256,0,0.7500,9385,-0.00582,0.43270,1.1315,0.00123,0.0056,1.0037,,1.02063,0.6345,0.5539,0.2153,0.6017,7.5
22,256,0,0.7109,9360,-0.00293,0.43515,1.1388,0.00184,0.0161,1.0026,,1.05056,0.6221,0.5574,0.2110,0.6277,7.5
23,256,0,0.6992,9590,-0.00363,0.45303,1.1099,0.00191,0.0127,1.0030,,1.02710,0.6312,0.5574,0.2068,0.6309,7.8
24,256,0,0.7188,9490,-0.00389,0.44201,1.1331,0.00218,0.0156,1.0034,,1.03643,0.6277,0.5555,0.2025,0.6311,7.7
25,256,0,0.6797,9849,-0.00302,0.46705,1.1651,0.00125,0.0067,1.0044,,1.03131,0.6318,0.5519,0.1983,0.6105,7.9
26,256,0,0.7266,9343,-0.00243,0.43284,1.1423,0.00127,0.0107,1.0061,,1.01964,0.6321,0.5566,0.1941,0.6215,7.7
27,256,0,0.7305,9438,-0.00505,0.44841,1.1242,0.00167,0.0262,1.0082,,1.03206,0.6310,0.5566,0.1898,0.6197,7.9
